	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
3550	b'SDSS J095229.62+301553.6'	09 52 29.6266	+30 15 53.634	14.0	14.0	0.2025	0.1514	90.0	A	O	b'2018yCat.1345....0G'		1.5848959e-18		1.5848960000000002e-19		3.0654891999999996e-19				1.2764413999999997e-18	6.10941e-19	1.9275242000000001e-19	8.203507000000001e-20	4.6238199999999993e-20	B	50.88280790768058	197.4143860653991	False	False
3551	b'LS   V +60    1'	02 17 00.3468	+60 15 18.380	14.0	14.0	0.0214	0.02	90.0	A	O	b'2018yCat.1345....0G'		5.754402500000001e-13	2.0892947e-12			2.9147384999999997e-12	6.5012926e-11	1e-10	1.3458593999999998e-10						B	-0.8728134692869399	133.35911546775827	False	False
3552	b'EM* MWC  715'	02 29 16.0879	+58 35 37.588	14.0	14.0	0.0237	0.0346	90.0	A	O	b'2018yCat.1345....0G'		1.0964780999999999e-11	2.6302684000000004e-11			3.8132896e-11	2.3067467e-10	2.877396e-10	3.775719e-10						B	-1.889958620839497	135.39813026434996	False	False
3553	b'SDSS J162420.06+362158.2'	16 24 20.0539	+36 21 58.142	14.0	14.0	0.0751	0.1083	90.0	A	O	b'2018yCat.1345....0G'						2.0155773999999997e-18				2.4043656000000003e-19	3.1117166000000002e-18	1.6330493999999998e-18	1.1614501000000001e-18	8.3752993e-19	B	44.380988553874865	58.44961755834386	False	False
3554	b'TYC 7792-881-1'	13 32 59.7945	-41 12 15.844	14.0	14.0	0.0636	0.0691	90.0	A	O	b'2018yCat.1345....0G'		2.8840318e-12	3.8904526e-12			3.108138e-12	1.8706835e-12	1.3835656999999999e-12	1.3740405000000002e-12						B	20.99205558996628	311.2882044231284	False	False
3555	b'Ton  438'	09 35 12.1639	+31 10 00.441	14.0	14.0	0.07400000000000001	0.0562	90.0	A	O	b'2018yCat.1345....0G'		3.5481355000000004e-16	2.3442283e-16	3.4673682999999997e-16		2.351255e-16	4.2266809999999996e-17	2.8840254e-17	2.3442333e-17	8.97429e-16	4.6238099999999995e-16	1.3867564999999999e-16	5.915607e-17	2.7605777999999997e-17	B	47.30764934059369	195.34083755210975	False	False
3556	b'BD+23  3183'	17 47 03.2745	+23 19 45.353	14.0	14.0	0.0202	0.0313	90.0	A	O	b'2018yCat.1345....0G'		9.1201095e-11	9.772367e-11			1.1420895500000001e-10	8.413955e-10	6.760829e-09	6.237349500000001e-08						B	24.02580205606264	47.929915734937	False	False
3557	b'GD 1455'	01 26 12.3859	-24 34 14.301	14.0	14.0	0.04	0.035	90.0	A	O	b'2018yCat.1345....0G'		7.943275e-17	1e-16			9.009496e-17	2.1577425999999998e-16	2.9785162e-16	1.9319694e-16						B	-81.7724870764236	196.75850529831212	False	False
3558	b'SDSS J220101.41+134552.0'	22 01 01.4144	+13 45 52.100	14.0	14.0	0.4814	0.401	90.0	A	O	b'2018yCat.1345....0G'						3.7204932999999996e-20				5.495406e-21	5.2722999999999994e-20	3.0269198e-20	2.192803e-20	2.1379617e-20	B	-31.855213728546534	72.21122731902659	False	False
3559	b'GSC 03632-01555'	22 35 40.0928	+50 50 28.871	14.0	14.0	0.0264	0.022000000000000002	90.0	A	O	b'2018yCat.1345....0G'			1.5848926e-13			2.0053969e-13	1.1040792e-12	1.5958794e-12	1.7218688000000001e-12						B	-6.468971613153293	102.14788816508734	False	False
