	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
505	b'V* HP Lib'	15 35 53.0716	-14 13 12.217	14.0	14.0	0.045800000429153435	0.0348999984562397	90.0	A	O	b'2018yCat.1345....0G'	B	32.54668322274357	352.05603608608396	-1.0
506	b'PG 1213+456'	12 15 44.1370	+45 20 48.417	14.0	14.0	0.02280000038444996	0.035900000482797616	90.0	A	O	b'2018yCat.1345....0G'	B	70.4409009310096	141.9408259612451	-1.0
507	b'LS III +57   77'	22 47 05.3820	+57 37 56.462	14.0	14.0	0.6406999826431274	0.6377000212669373	90.0	A	O	b'2018yCat.1345....0G'	B	-1.3116526832282696	106.88080111675283	-1.0
508	b'TYC 3653-1426-1'	00 23 36.4427	+53 22 11.209	14.0	14.0	0.02630000002682209	0.0348999984562397	90.0	A	O	b'2018yCat.1345....0G'	B	-9.274878282358104	118.73224566800388	-1.0
509	b'BD+63  1937'	23 09 10.5903	+64 34 38.113	14.0	14.0	0.023299999535083767	0.02219999954104424	90.0	A	O	b'2018yCat.1345....0G'	B	3.851400759383033	112.23132699825486	-1.0
510	b'OM  22'	01 51 16.8108	-74 24 52.572	14.0	14.0	0.019600000232458115	0.013500000350177288	90.0	A	O	b'2018yCat.1345....0G'	B	-42.08478401304085	297.56941320237337	-1.0
511	b'PHL   197'	21 54 19.3268	-06 10 54.660	14.0	14.0	0.14710000157356262	0.2287999987602234	90.0	A	O	b'2018yCat.1345....0G'	B	-43.045859466891095	51.1705836587215	-1.0
512	b'SDSS J103113.30+535536.2'	10 31 13.3043	+53 55 36.300	14.0	14.0	0.13920000195503235	0.1754000037908554	90.0	A	O	b'2018yCat.1345....0G'	B	52.89601958517136	157.0290071480012	-1.0
513	b'SDSS J151655.86+115500.3'	15 16 55.8667	+11 55 00.273	14.0	14.0	0.06809999793767929	0.06650000065565109	90.0	A	O	b'2018yCat.1345....0G'	B	52.68403175840783	16.10779137716124	-1.0
514	b'CD-56   152'	00 49 01.3061	-56 05 49.340	14.0	14.0	0.03359999880194664	0.03180000185966492	90.0	A	O	b'2018yCat.1345....0G'	B	-61.02795023651685	303.6275029959192	-1.0
515	b'BD-02  4806'	18 58 22.3740	-02 13 42.730	14.0	14.0	0.04170000180602074	0.0414000004529953	90.0	A	O	b'2018yCat.1345....0G'	B	-2.5583821966089872	31.73762008928512	-1.0
516	b'Ton  804'	15 50 42.0119	+29 45 23.641	14.0	14.0	0.0430000014603138	0.061000000685453415	90.0	A	O	b'2018yCat.1345....0G'	B	50.751024165878036	47.66478251314378	-1.0
517	b'SDSS J073914.05+441349.5'	07 39 14.0462	+44 13 49.478	14.0	14.0	0.6751999855041504	0.8119999766349792	90.0	A	O	b'2018yCat.1345....0G'	B	26.750265411122136	174.6554745649257	-1.0
518	b'SDSS J215921.34-085158.6'	21 59 21.3459	-08 51 58.674	14.0	14.0	0.2921000123023987	0.2754000127315521	90.0	A	O	b'2018yCat.1345....0G'	B	-45.494548037487405	48.84705787935604	-1.0
