	level_0	gev_ASSOC_TEV	gev_CLASS1	gev_DEJ2000	gev_Flux1000	gev_Flux10000_100000	gev_Flux1000_3000	gev_Flux100_300	gev_Flux3000_10000	gev_Flux300_1000	gev_Flux30_100	gev_GLAT	gev_GLON	gev_RAJ2000	gev_Variability_Index	s_COO_BIBCODE	s_COO_ERR_ANGLE	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_QUAL	s_COO_WAVELENGTH	s_DEC	s_DEC_PREC	s_MAIN_ID	s_RA	s_RA_PREC	s_class	s_glat	s_glon
25	2638	b'MGRO J2031+41        '	b'SFR  '	41.16999816894531	5.79847743154005e-08	6.516221784380605e-09	4.221583438379639e-08	6.316483904811321e-07	2.7644027511541935e-08	1.813979366716012e-07		1.3961323499679565	79.60116577148438	307.1700134277344	0.0	b'2018yCat.1345....0G'	90.0	0.030099999159574512	0.032999999821186066	A	O	+41 05 29.086	14.0	b'TYC 3156-998-1'	20 28 30.3868	14.0	O	1.3768575604816409	79.51783623637556
26	251	b'Galactic Centre      '	b'spp  '	-28.994800567626953	2.178237679117956e-08	9.998125660715118e-10	1.5403353259557662e-08	5.515596512850607e-07	5.3190856164064826e-09	8.277984164806185e-08		-0.03929706662893295	359.9555969238281	266.4164123535156	68.25331115722656	b'2011MNRAS.417..114D'	90.0	49.0	49.0	B	O	-28 57 16.2	6.0	b'SSTGC 519103'	17 45 37.81	6.0	Be	-0.011453432374284596	359.98552533524423
27	6532	b'Galactic Centre      '	b'spp  '	-28.994800567626953	2.178237679117956e-08	9.998125660715118e-10	1.5403353259557662e-08	5.515596512850607e-07	5.3190856164064826e-09	8.277984164806185e-08		-0.03929706662893295	359.9555969238281	266.4164123535156	68.25331115722656	b'2013ApJ...764..154D'	0.0			C	N	-29 00 27.51	7.0	b'GCIRS  1W'	17 45 40.442	7.0	B	-0.04732741654411109	359.94516287559225
28	3122	b'                     '	b'BIN  '	-59.69160079956055	1.7172618882455026e-08	4.4471351601238496e-10	1.275006322742911e-08	1.0826031626720578e-07	2.7828677140462332e-09	5.995833873839729e-08		-0.6330745816230774	287.6058044433594	161.27650451660156	57.497596740722656	b'2018yCat.1345....0G'	90.0	0.01920000091195106	0.018799999728798863	A	O	-59 38 52.913	14.0	b'Cl Trumpler   16   215'	10 44 56.0158	14.0	B	-0.6047069300580927	287.56579100021787
29	6200	b'                     '	b'BIN  '	-59.69160079956055	1.7172618882455026e-08	4.4471351601238496e-10	1.275006322742911e-08	1.0826031626720578e-07	2.7828677140462332e-09	5.995833873839729e-08		-0.6330745816230774	287.6058044433594	161.27650451660156	57.497596740722656	b'2018yCat.1345....0G'	90.0	0.028999999165534977	0.029799999669194218	A	O	-59 39 19.102	14.0	b'DETWC Tr 16 J104445.3-593920'	10 44 45.2724	14.0	B	-0.6217021270535189	287.54918795665026
30	3223	b'                     '	b'     '	-14.767200469970703	5.335952568685798e-09	4.4048240749328116e-11	3.442912621665073e-09	8.717234711852484e-10	1.1821549295021327e-09	5.658421287080273e-09		-1.4837971925735474	17.07600975036621	276.8340148925781	40.0007209777832	b'2018yCat.1345....0G'	90.0	0.05299999937415123	0.04760000109672546	A	O	-14 42 07.922	14.0	b'BD-14  5057'	18 27 25.8638	14.0	B	-1.473680752520968	17.14382484200989
31	3267	b'                     '	b'PSR  '	-61.22309875488281	3.0648033000346686e-09	7.149008468543272e-11	3.1419833401713504e-09	1.0634675362553025e-07	1.5095401317832824e-10	2.3263606152568173e-08		-0.9411547183990479	290.5028991699219	166.3050994873047	56.068843841552734	b'2018yCat.1345....0G'	90.0	0.02160000056028366	0.02070000022649765	A	O	-61 15 19.892	14.0	b'TYC 8958-1269-1'	11 05 34.0784	14.0	B	-0.9543064352693236	290.55371572144315
32	4563	b'                     '	b'     '	-59.504600524902344	1.925611226027968e-09	1.2026259155195618e-10	1.408222094489986e-09	6.171542226915405e-13	3.914835122742488e-10	6.289472831433329e-10		-0.5559729933738708	287.3520812988281	160.90499877929688	35.683937072753906	b'2003yCat.2246....0C'	0.0	70.0	60.0	B	I	-59 35 53.02	7.0	b'CPD-58  2608B'	10 43 41.239	7.0	B	-0.6344255394492557	287.4031840502487
33	6393	b'                     '	b'bcu  '	40.81779861450195	8.725302425016679e-11	3.752862950956448e-11	4.494696628776218e-11	2.0897572561295874e-09	1.9026452288684048e-11	3.3082270256556967e-10		-22.005041122436523	120.66645050048828	10.083000183105469	30.274110794067383	b'2006AJ....131.2478M'	0.0			C	O	+40 45 22.5	6.0	b'LGGS J004032.13+404522.5'	00 40 32.13	6.0	B	-22.0683379773284	120.70435693285255
34	8504	b'                     '	b'pwn  '	-28.862699508666992	2.7521767975713374e-08	4.5720238706081773e-10	2.2354585738071364e-08	1.8510103449997928e-09	4.68638772233021e-09	4.536945397148884e-08		-0.10315696895122528	0.1492011696100235	266.59381103515625	57.06263732910156	b'2011MNRAS.417..114D'	90.0	49.0	49.0	B	O	-28 46 11.8	6.0	b'[MCD2010] 18'	17 46 27.60	6.0	O	-0.0705983411720954	0.23766282055346824
