gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,s_MAIN_ID,s_class,s_nan_spectra,gev_1FGL_Name,gev_CLASS1,marked
0.06949969956221413,0.3589957331657239,0.1564745621308573,0.15708965758105678,0.23860505100083168,0.0,0.0,0.00016222333139173536,0.00147949449621072,0.001660020856839807,0.0,0.0021737685774977163,0.0,0.0,0.0,0.0,0.00046785723937092306,0.0033893234044547055,0.010002608653550609,0.0,b'GSC 05698-00468',B,False,b'                  ',b'spp  ',0
0.0023274922183536303,0.029625993088012646,0.013587338714580576,0.023664610241733476,0.03519276086094593,0.0,0.0,0.0053663860193164,0.004673922316513274,0.0,0.0,0.013076205038117857,0.15692116104036438,0.2283923849430784,0.4871717455189835,0.0,0.0,0.0,0.0,0.0,b'EM* GGA  394',B,False,b'                  ',b'spp  ',0
0.4763773971692593,0.05805603765555966,0.2699248378249225,0.07143454741027164,0.1242069163268151,0.0,2.1868743487352003e-07,1.305644089411795e-08,9.095471535048737e-09,7.813133307586083e-09,6.773684424052661e-09,8.187006699920316e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'MAC 1-490',B,False,b'                  ',b'bcu  ',0
1.7942037518702623e-08,0.0018896382503738054,0.00023979684417684498,0.0010841228162737748,0.001614563814581028,0.0,0.00014061084561225407,0.00013122575709132985,0.0013122575709132985,0.0,0.0,0.0033668114984065456,0.1786565370086225,0.3373020141082681,0.4742624035436429,0.0,0.0,0.0,0.0,0.0,b'LS  IV -03    6',B,False,b'1FGL J1842.9-0359c',b'     ',0
0.03307197815281851,0.18040341796132522,0.16419078790295233,0.10770279803431464,0.2516449005583446,0.0,0.00013624360992686545,6.971332162349857e-05,0.00027945791652445376,0.0004992479289263421,0.0044495498960010925,0.0006491074480155421,0.041717301029900365,0.07768133150324226,0.13750416473608426,0.0,0.0,0.0,0.0,0.0,b'Cl Trumpler   16   215',B,False,b'1FGL J1045.2-5942 ',b'BIN  ',0
5.540614587745321e-05,0.0011726623969452604,3.4515326791817996e-05,0.0009084205335220831,0.0006644194740560361,0.0,0.00917850095303177,0.003915361551600834,0.011034983320379962,0.0,0.0,0.02057652347267522,0.2348398258882613,0.3197213030038342,0.39789807793302406,0.0,0.0,0.0,0.0,0.0,b'BD-14  5057',B,False,b'                  ',b'     ',0
0.012860863736836745,0.08632903336803781,0.29219799749634706,0.011754808211151779,0.18115397318830698,0.0,0.0,0.03601153354576103,0.028605015559625125,0.0,0.0,0.03668952808897003,0.10652272984402952,0.0958168318281309,0.11205768513280312,0.0,0.0,0.0,0.0,0.0,b'TYC 8958-1269-1',B,False,b'                  ',b'PSR  ',0
0.007383315841097933,0.008812450146724429,5.989609447319165e-07,0.011503281742700157,6.679522819518192e-07,0.0,0.0,0.013712098229618646,0.007363841152849512,0.0,0.0,0.027676057289930202,0.16792069122581554,0.26798117188627835,0.48764582557175845,0.0,0.0,0.0,0.0,0.0,b'EM* GGR  129',B,False,b'                  ',b'     ',0
0.08550028865568171,0.24239633624482368,0.28514092186161505,0.1391664005291665,0.2477960408155364,0.0,0.0,0.0,0.0,0.0,0.0,2.656644089178001e-09,0.0,0.0,0.0,5.243640460521601e-10,3.959434521338723e-09,2.441372682657845e-09,1.4609407421808103e-09,8.504208467282533e-10,b'SDSS J085023.10+485826.3',B,False,b'1FGL J0849.9+4852 ',b'bll  ',0
0.0021300389268733536,0.04508194017137853,0.0013269103720539544,0.03492340186687679,0.025543002876292645,0.0,0.01768484125548661,0.02498053515714443,0.02498053515714443,0.0,0.0,0.031659298629531936,0.21607327721859682,0.26828838756989326,0.30732783079872705,0.0,0.0,0.0,0.0,0.0,b'LS  IV -14   70',B,False,b'                  ',b'     ',0
0.014678470323086496,0.3106675246935925,0.009143971160273393,0.24066326273043442,0.1760212947058817,0.0,0.24882547638673147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'LS  IV -14   72',B,False,b'                  ',b'     ',0
0.0010032691728329255,0.0016182733274338712,7.092093030717171e-08,0.0012837289185001872,0.00020624055217422348,0.0,0.0010126257766716572,0.00039486494640546846,0.0016049029951108846,0.0016689717511189112,0.025849286870609722,0.0,0.1388190481442477,0.3107774104928116,0.5157613061311526,0.0,0.0,0.0,0.0,0.0,b'CPD-58  2608B',B,False,b'                  ',b'     ',0
0.06659400318253997,0.21994297206750887,0.260278950327277,0.1406242108370496,0.3125597649738952,0.0,0.0,0.0,0.0,0.0,0.0,1.325765547867244e-08,0.0,0.0,0.0,4.341765768585097e-08,2.562514306273567e-08,9.113115903174025e-09,4.381936707413161e-09,2.816220560949909e-09,b'SDSS J104238.64+240826.6',B,False,b'1FGL J1043.1+2404 ',b'fsrq ',0
0.0006538264795914401,0.0025189957746201298,0.00023825554712992312,0.002010019379164609,0.0001098145610044665,0.0,0.0,0.0005198721227162736,0.0018025880663538223,0.0,0.0,0.004876362353143525,0.16028611273144486,0.3154252980510753,0.5115588549337557,0.0,0.0,0.0,0.0,0.0,b'Hen 3-1611',B,False,b'                  ',b'spp  ',0
5.837190539495721e-13,2.0669941451267908e-11,1.9494064347339665e-11,6.80315959763419e-12,3.086738850390763e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'LS III +50    6',B,True,b'1FGL J2046.0+4954 ',b'SNR  ',0
