gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	gev_1FGL_Name	gev_CLASS1	marked
1.299063040973601e-14	6.710217335620889e-14	2.924765456500462e-14	2.93626259635946e-14	4.459918605365072e-14	0.0	0.0	0.15287095646794677	0.14277768793797285	0.14225199488424028	0.0	0.14102082895161294	0.0	0.0	0.0	0.0	0.14803459842177674	0.138992715999268	0.13405121733699926	0.0	0.0	0.0	0.0	0.0	0.0	b'GSC 05698-00468'	B	False	b'                  '	b'spp  '	0
6.0593890202048784e-15	7.712825667668658e-14	3.5373252968025675e-14	6.160840338603493e-14	9.162076980104939e-14	0.0	0.0	0.18008927849694656	0.18098748568881126	0.0	0.0	0.17429887943883285	0.15814324219684717	0.1557031281251769	0.15077798605311343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'EM* GGA  394'	B	False	b'                  '	b'spp  '	0
8.251799179412031e-15	1.005645454072302e-15	4.675632321143117e-15	1.237387716555137e-15	2.1515095726902186e-15	0.0	0.15672167120824565	0.167173758922078	0.16851442458726432	0.16907801787158688	0.16960745645495215	0.16890467095585573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'MAC 1-490'	B	False	b'                  '	b'bcu  '	0
1.0757344420874804e-18	1.13295323727537e-13	1.4377281516440033e-14	6.499976670447329e-14	9.680293570239653e-14	0.0	0.16694285514221693	0.16735303049521186	0.15368039702914738	0.0	0.0	0.1480855593161742	0.1245029996117858	0.12072935246221025	0.11870580594296408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  IV -03    6'	B	False	b'1FGL J1842.9-0359c'	b'     '	0
4.929547662816497e-14	2.6890053061418356e-13	2.4473477547154797e-13	1.605365345476335e-13	3.750896077866929e-13	0.0	0.12206883668024858	0.12467233096622439	0.11927746241886121	0.11702289418167997	0.10852352661281907	0.11600296700180944	0.09982732874637552	0.09741171443581131	0.09519293895507203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'Cl Trumpler   16   215'	B	False	b'1FGL J1045.2-5942 '	b'BIN  '	0
6.1332073085607365e-15	1.2980837178833233e-13	3.820689044229019e-15	1.0055800430095506e-13	7.354820137180553e-14	0.0	0.1528348845435959	0.1583952473131479	0.15163264471946733	0.0	0.0	0.14756605984359572	0.1316754435743719	0.12966169258554797	0.12823402741995932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'BD-14  5057'	B	False	b'                  '	b'     '	0
1.5901998289374905e-14	1.0674276386350866e-13	3.612923790675776e-13	1.4534400168650076e-14	2.2399041236265083e-13	0.0	0.0	0.16985413962853055	0.17132855942858252	0.0	0.0	0.1697347034270214	0.16290957273409643	0.16358781680989018	0.16258520797115644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'TYC 8958-1269-1'	B	False	b'                  '	b'PSR  '	0
9.356300787182598e-15	1.1167331320956221e-14	7.590165285213525e-19	1.45772125073284e-14	8.464438737185162e-19	0.0	0.0	0.17644014413309628	0.1804333335881479	0.0	0.0	0.17192930620943705	0.16034903563306954	0.1573467422166425	0.1535014382195716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'EM* GGR  129'	B	False	b'                  '	b'     '	0
1.360116838366099e-14	3.855979244848162e-14	4.535949237470121e-14	2.2138236919500954e-14	3.9418763713292744e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.16478524441321438	0.0	0.0	0.0	0.1708003926177186	0.16330600044837584	0.16509850048171015	0.1670019857350921	0.16900787630372996	0.0	0.0	0.0	0.0	0.0	b'SDSS J085023.10+485826.3'	B	False	b'1FGL J0849.9+4852 '	b'bll  '	0
5.353839152061265e-15	1.1331316686061703e-13	3.3351806915597415e-15	8.777974612534929e-14	6.420217355419253e-14	0.0	0.15046747733231738	0.148499717334708	0.148499717334708	0.0	0.0	0.1471498450107266	0.1362078323470661	0.13497469674346016	0.1342007138967398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  IV -14   70'	B	False	b'                  '	b'     '	0
