s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	tev_fermi_names	tev_classes	tev_glat	tev_glon	marked
-0.0	-0.019014675750603543	-0.018541670872449047	-0.0	-0.0	-0.01852575515040616	-0.017716189390090033	-0.017586040044199287	-0.017546146186255145	-0.0	-0.0	-0.0	-0.0	-0.0	0.18512455104094974	0.19816194056025768	0.21920220822288763	0.24249490340467328	0.2639468741652349	-0.0	-0.0	-0.0	-0.0	-0.0	b'LS  IV -05   11'	B	False	b''	b'unid'	-0.19760440289974213	26.79511260986328	0
-0.0	-0.018474070359303974	-0.018505745553601734	-0.0	-0.0	-0.018509401109105865	-0.01854849854504975	-0.01856328716190182	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.1778989421904035	0.19823658864093519	0.22389656102978658	0.24318748949383864	0.24938142137399916	-0.0	-0.0	-0.0	-0.0	-0.0	b'[M2002] LMC 164553'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.018950611102872564	-0.017345467125236297	-0.015219111694179503	-0.0	-0.0	-0.0	-0.0	-0.0	0.1687196132909095	0.18702389822977727	0.20514577841922613	0.22951621137644343	0.26110968860593203	-0.0	-0.0	-0.0	-0.0	-0.0	b'GCIRS  1W'	B	False	b''	b'unid'	-0.04616236314177513	359.9442443847656	0
-0.0	-0.0	-0.013297532093867007	-0.013313569274501471	-0.013193749482891898	-0.01320075913249212	-0.013253552020194828	-0.013329866730636106	-0.013278596851615334	-0.0	-0.0	-0.0	-0.0	-0.0	0.12682452388379847	0.14132327410821008	0.159616321503649	0.17336886431029078	0.17778453116023346	-0.0	-0.0	0.16272280485439417	-0.0	0.1512273057656229	b'[M2002] LMC 161594'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.01891621353692417	-0.01882014526875741	-0.0	-0.0	-0.0	-0.017805509392363635	-0.017536359568776902	-0.017078889669358648	-0.0	-0.0	-0.0	-0.0	-0.0	0.1992153233404119	0.18705307285833062	0.2054523664477029	0.2291803741557171	0.26925598063401834	-0.0	-0.0	-0.0	-0.0	-0.0	b'Cl* NGC 2070    SMB     283'	B	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.0	-0.018776658581377	-0.018803890078874747	-0.0	-0.0	-0.018608689841857866	-0.018377424037321993	-0.018370675091219226	-0.018229370147735575	-0.0	-0.0	-0.0	-0.0	-0.0	0.2030546161050322	0.19065797381265046	0.2094118599783734	0.23359715564388356	0.2744451022384468	-0.0	-0.0	-0.0	-0.0	-0.0	b'SSTISAGE1C J053736.75-690633.4'	B	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.0	-0.01717087783882893	-0.017176534650561084	-0.0	-0.0	-0.017046910324378266	-0.016900800958298788	-0.016880760102445002	-0.016852368011786325	-0.0	-0.0	-0.0	-0.0	-0.0	0.17943390110831267	0.19994702612776757	0.22582839951522307	0.24528577518978723	0.25153314994520776	-0.0	-0.0	-0.0	-0.0	-0.0	b'CPD-69   416'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.018966653176450125	-0.018888368814914923	-0.0	-0.0	-0.0	-0.0	-0.018257019735602956	-0.018108222737200717	-0.0	-0.0	-0.0	-0.0	-0.0	0.19630302265726396	0.18431857039769722	0.20244888731202626	0.2258300186256995	0.26531976547148195	-0.0	-0.0	-0.0	-0.0	-0.0	b'Cl* NGC 2070    SMB     455'	O	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.0	-0.018756885547204075	-0.018666580398346993	-0.0	-0.0	-0.0	-0.0182469382683575	-0.018135502019565	-0.018093236792189885	-0.0	-0.0	-0.0	-0.0	-0.0	0.19953366111533025	0.1873519758644192	0.2057806707572811	0.22954659483161874	0.2696862404570141	-0.0	-0.0	-0.0	-0.0	-0.0	b'Cl* NGC 2070    SMB     206'	O	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.0	-0.01804911216658138	-0.017554046302882733	-0.0	-0.0	-0.0	-0.0	-0.017500161253815105	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.19244411194867592	0.1806952491901519	0.1984691616378368	0.22139066835284674	0.26010412859376786	-0.0	-0.0	-0.0	-0.0	-0.0	b'Cl* NGC 2070    SMB     163'	O	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
